year,image_count,subbasin_id,subbasin_name,hybas_id,next_down,subbasin_area_km2,valid_area_km2,valid_share,coverage_flag,ndvi_mean,mndwi_mean,water_area_km2,water_threshold,roi_version,statistics_scale_m
2018,1,SB01,扎陵湖上游北部单元,4060614190,4060620840,3432.588802342332,145.5021711507579,0.042388465245668236,low,0.329581619057069,-0.3694063857623484,0.9228290253218108,0,hybas6_v1,20
2018,1,SB02,扎陵湖上游南部单元,4060614330,4060620840,3080.210200935766,225.47879767903035,0.07320240599506164,low,0.41986870055301534,-0.3972750882210864,1.5526687087472946,0,hybas6_v1,20
2018,5,SB03,扎陵湖所在单元,4060620840,4060628060,3006.4745600595484,2604.336990796217,0.8662428165514341,medium,0.12641751525837666,-0.11720190678119993,577.1136468792687,0,hybas6_v1,20
2018,5,SB04,鄂陵湖上游南部单元,4060621070,4060628060,5646.176166571835,4139.8825867796995,0.7332188129888435,low,0.39337189213688317,-0.44882203263507575,52.71321255439164,0,hybas6_v1,20
2018,13,SB05,鄂陵湖所在及出口单元,4060628060,4060660740,7986.592018117333,7984.152255613336,0.9996945176993562,high,0.2143602905298468,-0.3068229422538907,885.318849875777,0,hybas6_v1,20
2019,40,SB01,扎陵湖上游北部单元,4060614190,4060620840,3432.588802342332,3423.363148167803,0.9973123334294415,high,0.2719416492278706,-0.3378680646362739,41.38765508404469,0,hybas6_v1,20
2019,21,SB02,扎陵湖上游南部单元,4060614330,4060620840,3080.210200935766,3079.6186812846704,0.9998079612713068,high,0.36550323808085683,-0.42353901607863315,14.472410405740657,0,hybas6_v1,20
2019,45,SB03,扎陵湖所在单元,4060620840,4060628060,3006.4745600595484,3006.454620931388,0.9999933679371762,high,0.14402279137580629,-0.15298385957560662,579.0244800675399,0,hybas6_v1,20
2019,55,SB04,鄂陵湖上游南部单元,4060621070,4060628060,5646.176166571835,5646.1086808431155,0.9999880475339896,high,0.43193259342853463,-0.44375831372748226,58.315375703056844,0,hybas6_v1,20
2019,83,SB05,鄂陵湖所在及出口单元,4060628060,4060660740,7986.592018117333,7986.53737707863,0.9999931584036621,high,0.28490267102191097,-0.2909358696018149,945.1728463048423,0,hybas6_v1,20
