year,image_count,roi_area_km2,valid_area_km2,valid_share,coverage_flag,ndvi_mean,mndwi_mean,water_area_km2,water_threshold,roi_version,statistics_scale_m
2018,13,23152.064398211864,15099.365504746916,0.6521822523054621,low,0.25220564690757113,-0.3147393057021426,1517.6212661362079,0,hybas6_v0,20
2019,115,23152.064398211864,23142.1051572117,0.9995698335652119,high,0.31105012896833656,-0.3346843677793586,1638.3728344018414,0,hybas6_v0,20
2020,147,23152.064398211864,23152.049712017128,0.9999993656637057,high,0.32702198075613087,-0.3587187693391731,1595.3017525815908,0,hybas6_v0,20
2021,184,23152.064398211864,23152.00193315147,0.9999973019658498,high,0.3232816556455079,-0.34027149824831004,1511.9080847068108,0,hybas6_v0,20
2022,148,23152.064398211864,23152.062109111583,0.9999999011275953,high,0.3192614585298285,-0.35730808832650496,1494.7038915547764,0,hybas6_v0,20
2023,126,23152.064398211864,23152.064070670487,0.999999985852606,high,0.3258653644444815,-0.3369541226739334,1601.614432006156,0,hybas6_v0,20
2024,116,23152.064398211864,23152.064398211813,0.9999999999999978,high,0.34593655526059386,-0.36280251124861884,1589.0922595634427,0,hybas6_v0,20
